Business ID,Latitude,Longitude,Category,Competition,Population Density,Restaurants,Café,Hospitals,Education,Popularity
BIZ_59,26.328872,50.131245,Education,0.31,2186,17,26,5,17,0.9
BIZ_60,26.289347,50.15509,Restaurant,0.12,3224,18,9,4,14,0.73
BIZ_61,26.533316,50.383932,Café,0.43,2454,33,38,4,19,0.84
BIZ_62,26.33226,50.042955,Education,0.62,3142,10,49,8,1,0.8
BIZ_63,26.599071,50.276746,Restaurant,0.17,1909,4,7,5,2,0.24
BIZ_64,26.202381,50.055347,Hospital,0.72,3905,39,18,4,9,0.77
BIZ_65,26.251253,50.092234,Café,0.89,808,36,28,8,2,0.84
BIZ_66,26.364856,50.309285,Hospital,0.54,2846,4,28,2,8,0.47
BIZ_67,26.356327,50.378463,Café,0.59,3643,42,30,1,20,0.9
BIZ_68,26.347169,50.309075,Café,0.73,983,31,22,8,16,0.79
BIZ_69,26.496755,50.01533,Restaurant,0.22,4531,18,38,2,7,0.82
BIZ_70,26.418595,50.183434,Restaurant,0.18,522,43,50,6,19,0.51
BIZ_71,26.336699,50.140489,Café,0.84,1849,35,13,0,8,0.13
BIZ_72,26.400858,50.049392,Restaurant,0.24,1704,31,49,10,5,0.83
BIZ_73,26.423885,50.36189,Café,0.4,2057,2,44,7,4,0.81
BIZ_74,26.264335,50.08122,Restaurant,0.22,2985,18,46,9,0,0.31
BIZ_75,26.409371,50.23085,Hospital,0.25,3815,47,47,10,11,0.31
BIZ_76,26.437789,50.308636,Hospital,0.43,1943,1,35,6,9,0.68
BIZ_77,26.429736,50.354114,Hospital,0.77,2767,14,48,1,7,0.52
BIZ_78,26.206859,50.286475,Education,0.68,1460,3,26,10,19,0.35
BIZ_79,26.328726,50.309873,Education,0.72,3972,25,18,8,14,0.86
BIZ_80,26.242215,50.332983,Education,0.61,3240,40,26,3,17,0.96
BIZ_81,26.434217,50.347242,Education,0.13,1817,11,1,1,17,0.86
BIZ_82,26.481118,50.104329,Hospital,0.58,2050,41,47,9,11,0.55
BIZ_83,26.210721,50.388853,Hospital,0.27,2287,18,9,0,14,0.93
BIZ_84,26.306692,50.162556,Café,0.13,2894,29,10,0,1,0.72
BIZ_85,26.456881,50.14108,Restaurant,0.79,862,27,4,3,5,0.02
BIZ_86,26.339188,50.151196,Hospital,0.24,2761,13,21,5,17,0.61
BIZ_87,26.417366,50.11412,Restaurant,0.49,1835,35,48,4,16,0.57
BIZ_88,26.247868,50.330801,Restaurant,0.76,4856,12,36,2,12,0.96
BIZ_89,26.573735,50.350655,Hospital,0.17,1221,46,26,0,15,0.06
BIZ_90,26.404346,50.337013,Education,0.77,3755,6,28,5,10,0.47
BIZ_91,26.399835,50.27776,Hospital,0.5,971,21,11,6,11,0.34
BIZ_92,26.330507,50.06363,Restaurant,0.13,2784,42,19,5,18,0.06
BIZ_93,26.422917,50.227359,Café,0.2,2531,24,23,10,16,0.17
BIZ_94,26.321735,50.28365,Hospital,0.33,3815,31,1,0,15,0.1
BIZ_95,26.467364,50.28245,Café,0.8,2272,13,6,7,9,0.22
BIZ_96,26.279404,50.233687,Café,0.16,852,16,44,0,3,0.04
BIZ_97,26.413717,50.18983,Education,0.82,1656,33,41,2,10,0.08
BIZ_98,26.446759,50.378234,Café,0.52,1853,37,27,5,5,0.11
BIZ_99,26.274807,50.225907,Education,0.49,2780,9,12,6,9,0.83
BIZ_100,26.445072,50.223076,Hospital,0.26,2706,1,22,10,9,0.71
