keyword,Title,Review_Count,Rating,Address,Country,City,State,Google_id,Place_id,Latitude,Longitude,Category,Price_Range,Current_Status,Transportation & Travel,Hotels & Hospitality,Public & Government Services,Education,Religious Institutions,Home & Construction Services,Finance & Services,Entertainment & Recreation,Retail & Shopping,Health,Beauty & Wellness,Restaurants,Coffee Shops,Food & Dining,POI Density,Avg Rating - Restaurants,Avg Rating - Coffee Shops,Avg Rating - Food & Dining,Avg Num of Reviewers - Restaurants,Avg Num of Reviewers - Coffee Shops,Avg Num of Reviewers - Food & Dining,Total Num of Reviewers - Food & Dining,Direct Competition - Same Category/POI Density,Indirect Competition - Food & Dining/POI Density,Indirect Competition - Opposite Category/POI Density,Population_Within_1km,Population_Within_2km,Population_Within_3km
Coffee shop,Barn's | بارنز,182.0,4.5,Shulah J oil Station Dammam Eastren Saudi Arabia,SA,Dammam,,0x3e49e35c0c0d4825:0x5bcffa1d9d1ab69d,ChIJJUgNDFzjST4RnbYanR36z1s,26.3542574,50.0996351,coffee shops,SAR 1–20,,0,0,0,0,0,0,0,0,8,0,0,14,7,20,20,4.228571428571429,4.385714285714285,4.265,253.2142857142857,170.42857142857142,213.45,4269.0,0.35,1.0,0.7,14474,33428,63183
Coffee shop,IN CASE SPECIALTY COFFEE,7.0,4.3,"9XFG+78X, King Fahd Road, Al Amanah, Dammam 32324, Saudi Arabia",SA,Dammam,,0x3e3603090189b0c3:0x65083bd0297c8f9a,ChIJw7CJAQkDNj4Rmo98KdA7CGU,26.3732407,49.9758481,coffee shops,,,0,0,0,0,0,0,0,0,11,0,0,7,8,18,18,4.171428571428572,4.466666666666667,4.2375,235.28571428571428,119.16666666666669,155.5,2488.0,0.4444444444444444,1.0,0.3888888888888889,3701,20606,37063
Coffee shop,مقهى و محمصة وودز | WOODS Specialty Café & Roastery‎,3180.0,4.4,"Prince Turkey Street, Alkurnaish, Al Khobar 34413, Saudi Arabia",SA,Al Khobar,,0x3e49e9219d424ec3:0x69fc224e10c93f68,ChIJw05CnSHpST4RaD_JEE4i_Gk,26.3130416,50.2237048,coffee shops,SAR 20–40,,0,0,0,0,0,0,0,0,11,0,0,13,11,20,20,4.2846153846153845,4.345454545454546,4.325,2726.3076923076924,3301.909090909091,2868.85,57377.0,0.55,1.0,0.65,12691,52429,125343
Coffee shop,Kanxi cafe shop,1.0,5.0,"F34X+W9G, Sufian Ibn Wahb St, As Salam, Dammam 32416, Saudi Arabia",SA,Dammam,,0x3e49fd6aaaff2133:0x170f12e7c272982d,ChIJMyH_qmr9ST4RLZhywucSDxc,26.4573175,50.0984669,coffee shops,,,0,0,0,0,0,0,0,1,3,0,0,18,2,20,20,4.277777777777778,4.449999999999999,4.295,3422.8888888888887,1436.0,3224.2,64484.0,0.1,1.0,0.9,36275,129949,258592
Coffee shop,Rivera Compound-jofferys cafe,25.0,4.4,"6629+3MC, Ishbiliya, Al Khobar 34712, Saudi Arabia",SA,Al Khobar,,0x3e49c39bfc270937:0x15bdbc60bc8d4ddf,ChIJNwkn_JvDST4R302NvGC8vRU,26.2001904,50.2191536,coffee shops,,,0,0,0,0,0,0,0,0,4,0,0,9,6,13,13,4.4,4.466666666666667,4.407692307692307,499.77777777777777,200.0,393.7692307692308,5119.0,0.4615384615384615,1.0,0.6923076923076923,3424,25953,43045
Coffee shop,Barn's | بارنز,703.0,4.3,"King Saud Bin Abdulaziz Rd, Al Andalus, Al Khobar 34437, Saudi Arabia",SA,Al Khobar,,0x3e49e61f67a97a27:0xd64487b76ce1b09,ChIJJ3qpZx_mST4RCRvOdntIZA0,26.3227222,50.1797506,coffee shops,SAR 1–20,,0,0,0,0,0,0,0,2,11,0,0,9,12,20,20,4.355555555555556,4.308333333333334,4.285,2033.888888888889,503.25,1199.85,23997.0,0.6,1.0,0.45,11039,45828,98781
Coffee shop,Barn's | بارنز,60.0,4.1,"Al Imam Ali Ibn Abi Talib St, Shifa District, Dammam 32236, Saudi Arabia",SA,Dammam,,0x3e49fbc83c4ddd7d:0x7b40ff73a397f892,ChIJfd1NPMj7ST4RkviXo3P_QHs,26.4123958,50.1103186,coffee shops,SAR 1–20,,0,0,0,0,0,0,0,0,6,0,0,14,4,20,20,4.135714285714285,4.325,4.2,2507.214285714286,647.5,2047.95,40959.0,0.2,1.0,0.7,25651,89794,200930
Coffee shop,Repeat Coffee By The Sea,180.0,3.3,"Ash Shati Ash Sharqi, Dammam 32411, Saudi Arabia",SA,Dammam,,0x3e49f9172cc3777d:0xc1aa0f15a383dee3,ChIJfXfDLBf5ST4R496DoxUPqsE,26.4970726,50.1347275,coffee shops,SAR 20–40,,0,0,0,0,0,0,0,0,7,0,0,10,10,20,20,4.2700000000000005,4.15,4.21,549.5,436.6,493.05,9861.0,0.5,1.0,0.5,2180,7609,13311
Coffee shop,Saqr Al-Rafidain Coffee Shop for Drinks,33.0,3.5,"65GM+2JC, Al Thawn, Al Khobar 34632, Saudi Arabia",SA,Al Khobar,,0x3e49c310b87d5c83:0x2e93d90058a902c4,ChIJg1x9uBDDST4RxAKpWADZky4,26.2250521,50.1840226,coffee shops,SAR 20–40,,0,0,0,0,0,0,0,0,6,0,0,13,6,20,20,3.969230769230769,3.8,4.0,45.07692307692308,218.8333333333333,95.2,1904.0,0.3,1.0,0.65,2272,21067,45830
Coffee shop,Blo Coffee بلو كوفي,2.0,5.0,"4638 ابن النجم، Al Jisr, ECAA7972، 7972, Al Khobar 34714, Saudi Arabia",SA,Al Khobar,,0x3e49c3992a3b53e1:0x517cbcb7c40563e1,ChIJ4VM7KpnDST4R4WMFxLe8fFE,26.21323,50.208428,coffee shops,,,0,0,0,0,0,0,0,1,9,0,0,12,6,20,20,4.1000000000000005,4.333333333333333,4.17,822.4166666666666,751.8333333333334,803.8,16076.0,0.3,1.0,0.6,19428,43209,61214
Coffee shop,Tim Hortons,108.0,4.7,"Khaleej Rd, Az Zuhur, Dammam 32423, Saudi Arabia",SA,Dammam,,0x3e49fd005fc5cc61:0x4f77c2bee8eb4d60,ChIJYczFXwD9ST4RYE3r6L7Cd08,26.4586953,50.0822598,coffee shops,,,0,0,0,0,0,0,0,0,8,0,0,13,4,20,20,4.2,4.4,4.29,2602.076923076923,522.75,1990.75,39815.0,0.2,1.0,0.65,44493,125522,222160
Coffee shop,PART COFFEE HOUSE | قهوة جزء,1491.0,4.8,"King Saud St, Al Khobar Al Shamalia, Al Khobar 34425, Saudi Arabia",SA,Al Khobar,,0x3e49e91a08baf2a5:0x8c014b2d756fbabe,ChIJpfK6CBrpST4RvrpvdS1LAYw,26.2961044,50.2179219,coffee shops,SAR 1–20,,0,0,0,0,0,0,0,0,5,0,0,11,9,20,20,4.336363636363637,4.300000000000001,4.32,6022.636363636364,2011.888888888889,4217.8,84356.0,0.45,1.0,0.55,68709,128528,244982
Coffee shop,BREWS coffee and brunch,254.0,4.8,"King Fahd Road, Ibn Khaldun, Dammam 32253, Saudi Arabia",SA,Dammam,,0x3e49fd987769e077:0x2703b58a5cd9f9bd,ChIJd-Bpd5j9ST4RvfnZXIq1Ayc,26.421445,50.0906508,coffee shops,SAR 20–40,,0,0,0,0,0,0,0,1,4,0,0,14,5,20,20,4.128571428571428,4.32,4.18,1829.571428571429,592.6,1454.3,29086.0,0.25,1.0,0.7,62079,167006,314395
Coffee shop,marfa speciality coffee,141.0,4.9,"Prince Abdulmajeed St, Al Khobar Al Shamalia, Al Khobar 34429, Saudi Arabia",SA,Al Khobar,,0x3e49e97e6876ea0d:0xcb0e757960d9e631,ChIJDep2aH7pST4RMebZYHl1Dss,26.2802157,50.2163968,coffee shops,SAR 1–20,,0,0,0,0,0,0,0,1,3,0,0,17,3,20,20,4.2,4.166666666666667,4.21,3882.764705882353,1856.6666666666667,3574.2,71484.0,0.15,1.0,0.85,69686,177737,316505
Coffee shop,كافيه البيت اليوناني Greek House Cafe,77.0,4.9,"F43C+H62, Prince Mohammed Bin Fahd Road, Ash Shati Ash Sharqi, Dammam 32414, Saudi Arabia",SA,Dammam,,0x3e49fb0076b909c3:0x57049c718e6177d4,ChIJwwm5dgD7ST4R1HdhjnGcBFc,26.4539375,50.1205625,coffee shops,SAR 20–40,,0,0,0,0,0,0,0,0,4,0,0,15,4,20,20,4.36,4.225,4.33,4040.0,1756.0,3438.2,68764.0,0.2,1.0,0.75,33889,82210,176123
Coffee shop,CORE COFFEE & ROASTERY,386.0,4.4,"Jarir bookstore, Az Zuhur, Dammam 32423, Saudi Arabia",SA,Dammam,,0x3e49fd400eaa7a93:0xdd26763e6de22c19,ChIJk3qqDkD9ST4RGSzibT52Jt0,26.4587015,50.0926965,coffee shops,SAR 1–40,,0,0,0,0,0,0,0,1,6,0,0,16,3,20,20,4.2625,4.466666666666666,4.3,4207.5625,1175.3333333333333,3682.25,73645.0,0.15,1.0,0.8,42248,125123,247189
Coffee shop,OWL Bakehouse & Coffee,258.0,4.8,"King Fahd St, Al Khobar Al Shamalia, Al Khobar 31952, Saudi Arabia",SA,Al Khobar,,0x3e49e9f6fa26ace7:0x5decec8677375d49,ChIJ56wm-vbpST4RSV03d4bs7F0,26.2994694,50.2152512,coffee shops,SAR 20–40,,0,0,0,0,0,0,0,0,7,0,0,10,11,20,20,4.36,4.245454545454546,4.295,4596.3,2068.818181818182,3284.5,65690.0,0.55,1.0,0.5,72170,140352,234676
Coffee shop,Wateen coffee,5.0,3.2,"Al Hayat Plaza, King Saud St, Al Anud, Dammam 32427, Saudi Arabia",SA,Dammam,,0x3e49fd0069bd5abf:0x8ac1b764c6b4786a,ChIJv1q9aQD9ST4Rani0xmS3wYo,26.4427365,50.0659452,coffee shops,,,0,0,0,0,0,0,0,0,3,0,0,18,0,20,20,4.055555555555555,,4.075,2268.111111111112,,2313.95,46279.0,0.0,1.0,0.9,35578,113022,238139
Coffee shop,Hassad Coffee Roasters | محمصة حصاد,630.0,4.8,"8323 King Khalid Rd, Al Khobar Al Shamalia, Al Khobar 34425, Saudi Arabia",SA,Al Khobar,,0x3e49e9e83116efb3:0x8721cf9fdd577a6c,ChIJs-8WMejpST4RbHpX3Z_PIYc,26.299905,50.2171526,coffee shops,SAR 1–20,,0,0,0,0,0,0,0,0,6,0,0,11,10,20,20,4.363636363636363,4.3100000000000005,4.335,5427.0,2113.7,3890.2,77804.0,0.5,1.0,0.55,64650,130962,225091
Coffee shop,Olabs Café & Roastery,2023.0,4.2,"6102 5022 Prince Faisal Bin Fahd Road, Al Hizam Al Akhdar, Al Khobar 34433, Saudi Arabia",SA,Al Khobar,,0x3e49e9d56ae94edb:0xb11da240ef5ee44d,ChIJ207patXpST4RTeRe70CiHbE,26.3033979,50.2062557,coffee shops,SAR 20–40,,0,0,0,0,0,0,0,0,10,0,0,7,12,20,20,4.328571428571428,4.275,4.3100000000000005,2346.5714285714284,1532.9166666666667,1644.35,32887.0,0.6,1.0,0.35,52857,156870,258789
Coffee shop,To Be Cafe,407.0,4.6,"3700 Abdulrahman Aldakhel St, Al Rakah Al Janubiyah, Al Khobar 34226, Saudi Arabia",SA,Al Khobar,,0x3e49efbc848021df:0x45453c1266ee301f,ChIJ3yGAhLzvST4RHzDuZhI8RUU,26.3503765,50.1953986,coffee shops,SAR 20–40,,0,0,0,0,0,0,0,0,7,0,0,10,9,20,20,4.029999999999999,4.300000000000001,4.17,1117.4,370.77777777777777,738.65,14773.0,0.45,1.0,0.5,22250,69489,104234
Coffee shop,browny coffee shop - مقهي براوني كافية,28.0,5.0,"5330 King Khaled St, Al Jalawiyah, Dammam 32246, Saudi Arabia",SA,Dammam,,0x3e49fd32b1fcdcf1:0x9607d74166f2999b,ChIJ8dz8sTL9ST4Rm5nyZkHXB5Y,26.4338616,50.0839543,coffee shops,SAR 1–20,,0,0,0,0,0,0,0,0,3,0,0,16,2,20,20,4.13125,4.05,4.135,2239.1875,790.0,2123.3,42466.0,0.1,1.0,0.8,76441,227621,347047
Coffee shop,BlueSky Coffee |قهوة بلوسكي,7.0,4.0,"Imam Abdulrahman Al Faisal Hospital, Al Haras Al Watani, Dhahran 34232, Saudi Arabia",SA,Dhahran,,0x3e49e536e8bd1675:0x56b0f07bce4d29a2,ChIJdRa96DblST4RoilNznvwsFY,26.3574486,50.1773346,coffee shops,SAR 1–40,,1,0,0,0,0,0,1,0,6,0,0,4,6,9,9,3.95,4.2,4.05,220.0,152.0,155.0,1240.0,0.6666666666666666,1.0,0.4444444444444444,4915,40349,105707
Coffee shop,Bunah specialty coffee محمصة بنة,1008.0,4.5,"شارع الملك فهد, Al Hamra, Al Khobar 34628, Saudi Arabia",SA,Al Khobar,,0x3e49c32ca27bc4c7:0xc8bc5e2f3445c33f,ChIJx8R7oizDST4RP8NFNC9evMg,26.2204861,50.2125983,coffee shops,SAR 20–40,,0,0,0,0,0,0,0,1,9,0,0,12,7,20,20,4.1000000000000005,4.357142857142857,4.175,876.0,706.0,802.05,16041.0,0.35,1.0,0.6,11095,30234,51670
Coffee shop,Trust Coffee Shop,31.0,5.0,"6676 King Salman Bin Abdulaziz Rd, Al Hizam Al Akhdar, حي, 5374, Al Khobar 34433, Saudi Arabia",SA,Al Khobar,,0x3e49e9b400318b9f:0xc8c07d3e81f76b9b,ChIJn4sxALTpST4Rm2v3gT59wMg,26.3086841,50.20927,coffee shops,SAR 20–40,,0,0,0,0,0,0,0,0,10,0,0,11,11,20,20,4.2,4.236363636363636,4.205,2815.7272727272725,1566.6363636363635,2024.6,40492.0,0.55,1.0,0.55,38484,109852,204324
Coffee shop,The Swan Coffee,40.0,2.3,"869H+QV4, Alkurnaish, Al Khobar 34412, Saudi Arabia",SA,Al Khobar,,0x3e49e99986603e31:0xb6e75df53f9d8a72,ChIJMT5ghpnpST4RcoqdP_Vd57Y,26.3193895,50.2297014,coffee shops,SAR 80–100,,0,0,0,0,0,0,0,0,13,0,0,10,11,20,20,4.43,4.327272727272727,4.375,2607.2,2146.181818181818,2263.35,45267.0,0.55,1.0,0.5,5134,16729,62348
Coffee shop,Coffee,,,"EADA4268، 4268 شارع يحيى بن نعيم، 6607, Al Safa, Dammam 34222, Saudi Arabia",SA,Dammam,,0x3e49ef0034acf8f7:0x6582b11c5a627768,ChIJ9_isNADvST4RaHdiWhyxgmU,26.4114614,50.2210992,coffee shops,,,0,0,0,0,0,0,0,0,12,0,0,9,11,20,20,4.45,4.73,4.605555555555556,186.0,28.7,98.61111111111111,1775.0,0.55,1.0,0.45,0,707,1363
Coffee shop,Barn's | بارنز,27.0,3.3,Council Road Al Thawn Dammam Eastren Saudi Arabia,SA,Al Khobar,,0x3e49c37617a2c231:0x55ce8a2532dc2e8d,ChIJMcKiF3bDST4RjS7cMiWKzlU,26.2169873,50.1849484,coffee shops,SAR 1–20,,0,0,0,0,0,0,0,0,9,0,1,11,10,20,20,3.927272727272728,3.93,3.96,231.63636363636363,261.4,256.75,5135.0,0.5,1.0,0.55,10542,30564,62316
Coffee shop,CORE COFFEE & ROASTERY,538.0,4.4,"Salaheddin Al Ayoubi Street, Al Bustan, Al Khobar 34422, Saudi Arabia",SA,Al Khobar,,0x3e49e9b43adbca67:0xbca0b9f1586ad722,ChIJZ8rbOrTpST4RItdqWPG5oLw,26.3250433,50.2075896,coffee shops,SAR 20–40,,0,0,0,0,0,0,0,0,10,0,0,9,11,20,20,4.2,4.218181818181818,4.195,2362.333333333333,1161.0,1586.85,31737.0,0.55,1.0,0.45,16740,48455,104504
Coffee shop,Barn's | بارنز,26.0,3.6,"Sasco Station, طريق الملك عبدالعزيز، Dhahran 34312, Saudi Arabia",SA,Dhahran,,0x3e49e383cbbc7e31:0xdf4b1d59a9a7b3c2,ChIJMX68y4PjST4RwrOnqVkdS98,26.2954097,50.0356568,coffee shops,SAR 1–40,,0,0,0,0,0,0,0,0,3,0,0,10,4,14,14,3.76,3.7,3.764285714285714,354.9,152.5,296.07142857142856,4145.0,0.2857142857142857,1.0,0.7142857142857143,2312,3123,3192
Coffee shop,OKO,161.0,4.9,"King Saud St, Al Khobar Al Shamalia, Al Khobar 31952, Saudi Arabia",SA,Al Khobar,,0x3e49e99425091c3d:0xf25aa81cbd2111d7,ChIJPRwJJZTpST4R1xEhvRyoWvI,26.2907487,50.2158991,coffee shops,SAR 1–20,,0,0,0,0,0,0,0,0,6,0,0,12,7,20,20,4.333333333333333,4.4,4.375,5794.583333333333,1919.0,4398.85,87977.0,0.35,1.0,0.6,79927,173154,298851
Coffee shop,Student Tainment Coffee Shop,464.0,4.2,"Prince Mohammed Bin Fahd Branch Rd، street، Al Qusoor District, Dhahran Saudi Arabia",SA,Dhahran,,0x3e49e577272d7e75:0x8dd755f004c94a1b,ChIJdX4tJ3flST4RG0rJBPBV140,26.3431323,50.1481736,coffee shops,SAR 20–40,,0,0,0,0,0,0,0,0,11,0,0,9,10,20,20,4.211111111111111,4.29,4.1850000000000005,2316.111111111112,730.2,1483.75,29675.0,0.5,1.0,0.45,25541,49299,70960
Coffee shop,SWAJ Coffee Roasters محمصة ومقهى سواج,699.0,4.4,"Musa Bin Nussier, Al Rakah Al Janubiyah, Al Khobar 34227, Saudi Arabia",SA,Al Khobar,,0x3e49e978a7f9d689:0x9394015578b51101,ChIJidb5p3jpST4RARG1eFUBlJM,26.3436776,50.2031617,coffee shops,SAR 20–40,,0,0,0,0,0,0,0,0,7,0,0,15,6,20,20,4.319999999999999,4.283333333333333,4.3100000000000005,2032.733333333333,1405.6666666666667,1748.35,34967.0,0.3,1.0,0.75,17832,54908,98414
Coffee shop,Density Coffee Roasters | مقهى ومحمصة دينستي,967.0,4.5,"Prince Turkey Street, Alkurnaish, Al Khobar 34412, Saudi Arabia",SA,Al Khobar,,0x3e49e9ca43ded575:0x72a33c8ac230ac3b,ChIJddXeQ8rpST4RO6wwwoo8o3I,26.3197176,50.2227601,coffee shops,SAR 20–40,,0,0,0,0,0,0,0,0,14,0,0,8,13,20,20,4.3125,4.353846153846154,4.355,2484.125,2508.769230769231,2409.55,48191.0,0.65,1.0,0.4,11207,36621,91598
Coffee shop,Mix and Match Coffee and Bakery - مقهى مكس اند ماتش,129.0,4.7,"EAJA6168, 3376 ابو شداد, 6168, Dammam 34241, Saudi Arabia",SA,Dammam,,0x3e49e51c1dc03fb9:0xea9e6cafd611c23c,ChIJuT_AHRzlST4RPMIR1q9snuo,26.3780636,50.1480472,coffee shops,SAR 20–40,,0,0,0,0,0,0,0,0,9,0,0,8,7,17,17,4.1,3.7714285714285714,3.8375,210.875,129.28571428571428,156.75,2508.0,0.4117647058823529,1.0,0.4705882352941176,4485,14272,38994
Coffee shop,Grambon Cafe - K Plaza جرام بن - الخبر بلازا,72.0,4.9,"Suwaikat St, Al Khobar Al Shamalia, Al Khobar 34429, Saudi Arabia",SA,Al Khobar,,0x3e49e9eb69fc6e67:0x3f2d23da3267c86f,ChIJZ278aevpST4Rb8hnMtojLT8,26.2842477,50.2106744,coffee shops,SAR 1–20,,0,0,0,0,0,0,0,0,4,0,0,17,3,20,20,4.117647058823529,4.433333333333334,4.19,3985.235294117647,1485.0,3705.7,74114.0,0.15,1.0,0.85,81118,243871,350758
Coffee shop,Blue Sky Coffee,13.0,2.8,"75HP+MWP, Al-Thuqbah, Al Khobar 34623, Saudi Arabia",SA,Al Khobar,,0x3e49e9862ccaa0fd:0xe4e510e7d85a4a1,ChIJ_aDKLIbpST4RoaSFfQ5RTg4,26.2792281,50.1873873,coffee shops,,,0,0,0,0,0,0,0,0,2,0,0,18,3,20,20,4.122222222222223,4.366666666666666,4.17,2315.1666666666665,3206.6666666666665,2111.35,42227.0,0.15,1.0,0.9,76383,172780,315208
Coffee shop,Costa Coffee,18.0,4.9,"3121 Prince Mohammed Bin Fahd Road, Ash Shati Ash Sharqi, Dammam 32413, Saudi Arabia",SA,Dammam,,0x3e49fb007cd83345:0xeff5c0e027d55078,ChIJRTPYfAD7ST4ReFDVJ-DA9e8,26.459531,50.1208001,coffee shops,,,0,0,0,0,0,0,0,0,5,0,0,16,4,20,20,4.28125,4.2,4.26,3893.375,1428.25,3407.95,68159.0,0.2,1.0,0.8,19978,59599,148388
Coffee shop,10 ° Coffee House,785.0,4.2,"Al Rawabi, Al Khobar 34421, Saudi Arabia",SA,Al Khobar,,0x3e49e941eb16d3e1:0xb01f7cb168813bf4,ChIJ4dMW60HpST4R9DuBaLF8H7A,26.3303042,50.2127118,coffee shops,SAR 20–40,,0,0,0,0,0,0,0,0,12,0,0,9,12,20,20,4.233333333333333,4.316666666666666,4.25,1432.7777777777778,856.1666666666666,1137.65,22753.0,0.6,1.0,0.45,13679,36156,84883
Coffee shop,Levels Board Games Cafe | ليفلز,1210.0,4.8,"Dist, Al Muhammadiyah, 4843 Alkhaleej road, Dammam 32433, Saudi Arabia",SA,Dammam,,0x3e49ff7f13f549b7:0xcc16e4e8cd6b8a7c,ChIJt0n1E3__ST4RfIprzejkFsw,26.4678848,50.0592592,coffee shops,SAR 20–40,,0,0,0,0,0,0,0,0,7,0,0,15,6,20,20,4.24,4.416666666666667,4.24,1602.6,1028.1666666666667,1739.1,34782.0,0.3,1.0,0.75,3385,20826,60782
Coffee shop,Onda Coffee,200.0,4.5,"34234, Prince Sultan Bin Fahd St, Qurtoba, Al Khobar 34234, Saudi Arabia",SA,Al Khobar,,0x3e49ef6b67fc1b61:0x4ebe81f9f455e4fe,ChIJYRv8Z2vvST4R_uRV9PmBvk4,26.3441469,50.1854352,coffee shops,SAR 1–20,,0,0,0,0,0,0,0,0,7,0,0,13,9,20,20,4.130769230769231,4.388888888888889,4.21,693.8461538461538,344.44444444444446,572.9,11458.0,0.45,1.0,0.65,14716,47754,114744
