keyword,Title,Review_Count,Rating,Address,Country,City,State,Google_id,Place_id,Latitude,Longitude,Category,Price_Range,Current_Status,general_category,Religious Institutions,Health,Restaurants,Public & Government Services,Coffee Shops,Entertainment & Recreation,Transportation & Travel,Finance & Services,Retail & Shopping,Food & Dining,Home & Construction Services,Beauty & Wellness,Hotels & Hospitality,Education,POI Density,Avg Rating - Restaurants,Avg Rating - Food & Dining,Avg Rating - Coffee Shops,Avg Num of Reviewers - Restaurants,Avg Num of Reviewers - Food & Dining,Avg Num of Reviewers - Coffee Shops
Herfy,Herfy,1712.0,3.6,"76R9+2W6, Prince Turkey Street, Al Khobar Al Shamalia, Al Khobar 34427, Saudi Arabia",SA,Al Khobar,,0x3e49e833e60dee77:0xb732eada2f4d6a43,ChIJd-4N5jPoST4RQ2pNL9rqMrc,26.290048,50.2197677,restaurants,SAR 20–40,,1,0,0,14,0,6,0,0,0,6,20,0,0,0,0,20,4.2785714285714285,4.36,4.55,5482.571428571428,4416.3,1928.3333333333333
Kudo,Kudu - Fatima Zahra Street,1140.0,3.9,"Fatema Al Zahra St, Aliskan, Dammam 32236, Saudi Arabia",SA,Dammam,,0x3e49fb4722aad83b:0xc8a5347c2298af81,ChIJO9iqIkf7ST4Rga-YInw0pcg,26.4151686,50.1175267,restaurants,SAR 20–40,,1,0,0,14,0,3,0,0,0,7,20,0,0,0,0,20,4.164285714285714,4.225,4.366666666666666,2761.714285714286,2250.15,720.0
Herfy,Herfy,1514.0,3.7,"93C8+45G, Abu Bakr Alsiddiq St, An Nada, Dammam 32273, Saudi Arabia",SA,Dammam,,0x3e49e3242cd1af55:0xf9e62f7ea4f886b2,ChIJVa_RLCTjST4Rsob4pH4v5vk,26.3703086,50.0654456,restaurants,SAR 20–40,,1,0,0,15,0,4,1,0,0,4,20,0,0,0,0,20,4.1466666666666665,4.175,4.3,3294.4666666666667,2705.9,1235.0
Pizza Hut,Pizza Hut,330.0,3.9,"92WV+H42, Al Manar, Dammam 32274, Saudi Arabia",SA,Dammam,,0x3e49fde8c6fba8c9:0x311d06c6aebd5835,ChIJyaj7xuj9ST4RNVi9rsYGHTE,26.3963562,50.0426187,restaurants,SAR 20–40,,1,0,0,16,0,4,0,0,0,2,20,0,0,0,0,20,4.15,4.175,4.35,2914.3125,2499.05,2225.75
Domino's,Domino's Pizza,827.0,4.0,"5472-5496 30th St, 6758, Al Khobar Al Janubiyah, Al Khobar 34626, Saudi Arabia",SA,Al Khobar,,0x3e49c29bb36b8187:0x2416eca48455c535,ChIJh4Frs5vCST4RNcVVhKTsFiQ,26.265528,50.2104032,restaurants,SAR 20–40,,1,0,0,17,0,2,0,0,0,4,20,0,0,0,0,20,4.18235294117647,4.195,4.25,1787.8823529411766,1646.8,941.5
Kudo,Kudu - Panda Hypermarket,835.0,3.8,"Panda Hypermarket, Saad Ibn Abi Waqqas St, Uhud, Dammam 32263, Saudi Arabia",SA,Dammam,,0x3e49fd0911322d63:0xe96120a8e2c05afd,ChIJYy0yEQn9ST4R_VrA4qggYek,26.412163,50.046127,restaurants,SAR 20–40,,1,0,0,18,0,1,0,0,0,3,20,0,0,0,0,20,4.016666666666667,4.015,4.2,863.2777777777778,798.35,320.0
Domino's,Domino's Pizza,620.0,3.9,"Abu Bakr Alsiddiq St, حي المنار،، Dammam 32271, Saudi Arabia",SA,Dammam,,0x3e49e2d52fd961cd:0x3b407d55b1bb68ba,ChIJzWHZL9XiST4Rumi7sVV9QDs,26.3794741,50.0579148,restaurants,SAR 20–40,,1,0,0,16,0,4,1,0,0,4,20,0,0,0,0,20,4.14375,4.17,4.325,2509.4375,2199.6,1450.25
Kudo,Kudu - Al Safa - Dammam,402.0,4.2,"EADA7725, 3377 طريق الملك سعود, 7725, الصفا, Dammam 34222, Saudi Arabia",SA,Dammam,,0x3e49e5de18fa8571:0x45b8daaed9de55a9,ChIJcYX6GN7lST4RqVXe2a7auEU,26.3860893,50.1782225,restaurants,SAR 20–40,,1,0,0,12,0,6,0,0,0,8,19,0,0,0,0,19,4.25,4.294736842105263,4.416666666666667,932.3333333333334,919.7368421052631,1342.5
Herfy,Herfy,664.0,3.7,"759Q+JV4, 20th St, Al-Thuqbah, Al Khobar 34624, Saudi Arabia",SA,Al Khobar,,0x3e49e803ca1b2c9b:0x8cfb71aafaa3f8e4,ChIJmywbygPoST4R5Pij-qpx-4w,26.2690086,50.1897063,restaurants,SAR 20–40,,1,0,0,18,0,1,0,0,0,2,20,0,0,0,0,20,3.9722222222222223,3.985,4.1,2095.222222222222,1974.75,1346.0
Pizza Hut,Pizza Hut,476.0,3.8,"938C+G4W, Abu Bakr Alsiddiq St, An Nada, Dammam 32271, Saudi Arabia",SA,Dammam,,0x3e49e3ba467887b7:0x753b5d4a278f6454,ChIJt4d4RrrjST4RVGSPJ0pdO3U,26.3663125,50.0703125,restaurants,$$,,1,0,0,15,0,6,0,0,0,4,20,0,0,0,0,20,4.1,4.135,4.25,2800.0,2318.35,910.3333333333334
Domino's,Domino's,1203.0,4.1,"8512 Prince Faisal Bin Fahd Road, 3145, Al Khobar Al Shamalia, Al Khobar 34424, Saudi Arabia",SA,Al Khobar,,0x3e49e845701c90a1:0x2fda1a918c237bbc,ChIJoZAccEXoST4RvHsjjJEa2i8,26.3017689,50.2134688,restaurants,SAR 20–40,,1,0,0,9,0,11,0,0,0,8,20,0,0,0,0,20,4.377777777777777,4.315,4.263636363636364,2926.222222222222,2210.05,1753.7272727272727
Burger King,Burger King - Dammam Airport,302.0,4.6,"Domestic Section, King Fahd Road, King Fahd International Airport, Dammam 32247, Saudi Arabia",SA,Dammam,,0x3e35e3acec9debbf:0x7779658fa7797ff8,ChIJv-ud7KzjNT4R-H95p49leXc,26.467884,49.796029,مطعم همبرغر,$$,,1,0,0,9,0,10,1,0,0,9,20,0,0,0,0,20,3.4555555555555557,3.61,3.73,214.44444444444446,167.45,120.0
Herfy,Herfy,3402.0,3.7,"C29C+V24, King Saud St, An Nur, Dammam 32445, Saudi Arabia",SA,Dammam,,0x3e49fd89b646ebb1:0x59d6ff02081d61cc,ChIJsetGton9ST4RzGEdCAL_1lk,26.4196251,50.0200807,restaurants,SAR 20–40,,1,0,0,18,0,2,0,0,0,3,20,0,0,0,0,20,4.105555555555556,4.14,4.35,1521.111111111111,1484.25,466.5
Pizza Hut,Pizza Hut,224.0,4.3,"king saud bin abdulaziz Road, An Nur, Dammam 32444, Saudi Arabia",SA,Dammam,,0x3e49fdb17972e49b:0x741cd5379c582365,ChIJm-RyebH9ST4RZSNYnDfVHHQ,26.4238344,50.0306923,restaurants,$$,,1,0,0,18,0,3,0,0,0,4,20,0,0,0,0,20,4.027777777777778,4.055,4.233333333333333,1526.2777777777778,1444.2,685.6666666666666
Kudo,Kudu - Hajer District - Dammam,353.0,3.9,"EDMA4900، 4900 Khilafah St, Hajar، 8200, Dammam 34251, Saudi Arabia",SA,Dammam,,0x3e49e500281e1be9:0xc9e045119c4119ef,ChIJ6RseKADlST4R7xlBnBFF4Mk,26.3745291,50.1194941,restaurants,SAR 20–40,,1,0,0,12,0,8,0,0,0,7,20,0,0,0,0,20,4.1000000000000005,4.275,4.525,239.5,404.4,409.0
Herfy,مطعم هرفي,1027.0,3.7,"F3C5+2CG بوعمر بن, Al Muhammadiyah, Dammam 32434, Saudi Arabia",SA,Dammam,,0x3e35eebd64e40c71:0x43cbc5699dc650a6,ChIJcQzkZL3uNT4RplDGnWnFy0M,26.4700684,50.058565,restaurants,SAR 20–40,,1,0,0,16,0,5,0,0,0,6,20,0,0,0,0,20,4.23125,4.24,4.48,1613.875,1794.95,1097.6
Burger King,Burger King - Ohud Plaza,495.0,4.1,"Centro Plaza, King Saud St, An Nur, Dammam 32444, Saudi Arabia",SA,Dammam,,0x3e49fd5541d2e7f3:0x68dbf3aba759ccfd,ChIJ8-fSQVX9ST4R_cxZp6vz22g,26.4263642,50.0354831,Hamburger restaurant,SAR 20–40,,1,0,0,15,0,5,0,0,0,6,20,0,0,0,0,20,4.06,4.045,4.02,1000.0666666666667,884.25,488.4
Pizza Hut,Pizza Hut,316.0,4.3,"Al Ashriah Street, Ash Shati Al Gharbi, Dammam 32415, Saudi Arabia",SA,Dammam,,0x3e49fb77ba4ed4b3:0xe2ea8887a5174aa6,ChIJs9ROunf7ST4RpkoXpYeI6uI,26.4547582,50.1159422,restaurants,$$,,1,0,0,15,0,4,0,0,0,5,20,0,0,0,0,20,4.2,4.19,4.125,4354.0,3673.95,1757.25
Domino's,Domino's,21.0,3.0,"Airport Rd, King Fahd International Airport, Dammam 32567, Saudi Arabia",SA,Dammam,,0x3e35e335d68511af:0x9a169c224e53b23d,ChIJrxGF1jXjNT4RPbJTTiKcFpo,26.4697765,49.79711,restaurants,$$,,1,0,0,9,0,10,1,0,0,9,20,0,0,0,0,20,3.4555555555555557,3.61,3.73,214.44444444444446,167.45,120.0
Burger King,Burger King - West Avenue Mall,533.0,3.7,"Avenue Mall, Omar Ibn Al Khattab St, Al Faisaliyah, West, Dammam 32271, Saudi Arabia",SA,Dammam,,0x3e49fded635562f5:0x976e7dfe64a41f2d,ChIJ9WJVY-39ST4RLR-kZP59bpc,26.387832,50.074526,Hamburger restaurant,SAR 20–40,,1,0,0,14,0,6,0,0,0,5,20,0,0,0,0,20,4.271428571428571,4.305,4.383333333333334,1603.5,1549.35,1470.3333333333333
Pizza Hut,Pizza hut,297.0,3.8,"7673 حي, EADA4027, 4027 Khalid Ibn Al Walid, Al Khobar 34226, Saudi Arabia",SA,Al Khobar,,0x3e49ef4a31e6d687:0x14eeb6415d02f1cf,ChIJh9bmMUrvST4Rz_ECXUG27hQ,26.3627089,50.1985629,restaurants,$$,,1,0,0,12,0,7,0,0,0,7,20,0,0,0,0,20,4.058333333333333,4.19,4.342857142857143,1806.5,1530.7,954.1428571428571
Burger King,Burger King - Shateaa,668.0,4.1,"Near Civil Defense, Prince Mohammed Bin Fahd Road, Ash Shati Ash Sharqi, Dammam 32413, Saudi Arabia",SA,Dammam,,0x3e49fbe1a9196d47:0x58619faca299933b,ChIJR20ZqeH7ST4RO5OZoqyfYVg,26.4625655,50.1222276,مطعم همبرغر,$$,,1,0,0,14,0,6,0,0,0,6,20,0,0,0,0,20,4.242857142857143,4.225,4.2,2656.6428571428573,2159.6,974.3333333333334
Herfy,Herfy,1058.0,3.5,"935F+XJR, Ash Shulah, Dammam 34265, Saudi Arabia",SA,Dammam,,0x3e49e3114137fda3:0xa54e0461f7700233,ChIJo_03QRHjST4RMwJw92EETqU,26.359989,50.0740041,restaurants,SAR 20–40,,1,0,0,13,0,7,0,0,0,5,19,0,0,0,0,19,4.153846153846154,4.16842105263158,4.214285714285714,2883.6153846153848,2210.157894736842,800.1428571428571
Domino's,Domino's Pizza,285.0,3.7,"Abu Bakr Alseddiq Mosque, Othman Ibn Affan Street, Near، Dammam 30449, Saudi Arabia",SA,Dammam,,0x3e49e56592c1f00d:0x30a672d2eec23f8e,ChIJDfDBkmXlST4Rjj_C7tJypjA,26.3816309,50.1034545,restaurants,$$,,1,0,0,8,0,10,0,0,0,10,20,0,0,0,0,20,4.125,4.225,4.32,1015.25,689.3,500.6
Herfy,Herfy,935.0,3.6,"C328+M3J, Omar Ibn Al Khattab St, Al Faisaliyah, Dammam 32272, Saudi Arabia",SA,Dammam,,0x3e49fcddfd04b73f:0x2fed45486e5d58ac,ChIJP7cE_d38ST4RrFhdbkhF7S8,26.4017175,50.065136,restaurants,SAR 20–40,,1,0,0,12,0,6,0,0,0,9,20,0,0,0,0,20,4.15,4.205,4.3,3527.0,2570.8,1172.0
Pizza Hut,Pizza Hut,425.0,4.0,"EMDB2666، 2666 ابراهيم بن عبيدة، 8340، حي العزيزية،, Dammam 32424،, Saudi Arabia",SA,Dammam,,0x3e49fde13ef0611f:0x8f6d036ed38e9da3,ChIJH2HwPuH9ST4Ro52O024DbY8,26.4618249,50.068105,restaurants,$$,,1,0,0,15,0,6,0,0,0,7,20,0,0,0,0,20,4.22,4.245,4.433333333333334,1251.8666666666666,1573.6,1565.0
Domino's,Domino's Pizza,319.0,3.8,"3315 20th St, 7109, Al-Thuqbah, Al Khobar 34624, Saudi Arabia",SA,Al Khobar,,0x3e49e803d22b528b:0xec487c6ba87e9ba9,ChIJi1Ir0gPoST4RqZt-qGt8SOw,26.2687389,50.1888289,restaurants,SAR 20–40,,1,0,0,18,0,1,0,0,0,3,20,0,0,0,0,20,3.961111111111111,3.975,4.1,2101.6666666666665,1980.55,1346.0
Burger King,Burger King - Prince Humud,1372.0,3.9,"Near Tamimi Markets, Prince Hammoud, Al Aqrabiyah, Al Khobar 34446, Saudi Arabia",SA,Al Khobar,,0x3e49e86be26b90fd:0xd4f3a473833753b2,ChIJ_ZBr4mvoST4RslM3g3Ok89Q,26.294147,50.199204,مطعم همبرغر,$$,,1,0,0,13,0,5,0,0,0,7,20,0,0,0,0,20,4.153846153846154,4.26,4.5200000000000005,2961.153846153846,2592.65,1703.6
Herfy,Herfy 420,551.0,3.4,"9XCC+QJF, King Fahd Road, Ash Sharq, Dammam 32324, Saudi Arabia",SA,Dammam,,0x3e360339665d7223:0x827c0b55012166ca,ChIJI3JdZjkDNj4RymYhAVULfII,26.3719388,49.9715468,restaurants,SAR 20–40,,1,0,0,10,0,5,0,0,0,7,18,0,0,0,0,18,3.99,4.061111111111111,4.279999999999999,226.4,185.66666666666666,190.4
Pizza Hut,Pizza Hut,57.0,3.8,"86H7+6C Address, 8148 King Faisal Bin Abdulaziz Road, Al Rawabi, 3225, Al Khobar 34421, Saudi Arabia",SA,Al Khobar,,0x3e49e945eb8f7349:0xb5902e3ed42a232e,ChIJSXOP60XpST4RLiMq1D4ukLU,26.3280628,50.2135293,restaurants,SAR 40–60,,1,0,0,7,0,14,0,0,0,14,20,0,0,0,0,20,4.285714285714286,4.2700000000000005,4.292857142857143,2137.0,1392.25,881.4285714285714
Herfy,Herfy,621.0,3.6,"7653+4G7, Iskan, Al Khobar 34626, Saudi Arabia",SA,Al Khobar,,0x3e49c296279cfa61:0x9970f3bbc014b8a8,ChIJYfqcJ5bCST4RqLgUwLvzcJk,26.2577994,50.2037926,restaurants,SAR 20–40,,1,0,0,15,0,4,0,0,0,4,19,0,0,0,0,19,3.853333333333333,3.9578947368421056,4.325,381.73333333333335,342.7894736842105,244.75
Domino's,Domino's,347.0,3.9,"8518 Dhahran Jubail Branch Rd, Al Faisaliyah, Dammam 32272, Saudi Arabia",SA,Dammam,,0x3e49fce7ddd6c6fb:0xa6c71eb4aceed184,ChIJ-8bW3ef8ST4RhNHurLQex6Y,26.4050529,50.0697551,restaurants,SAR 20–40,,1,0,0,9,0,9,0,0,0,11,20,0,0,0,0,20,4.122222222222223,4.205,4.277777777777778,3022.3333333333335,2026.8,1252.7777777777778
Burger King,Burger King - Doha,1185.0,4.0,"Doha Rd, Al Junubiyah, Anas Ibn Malik St Off Prince Sultan Rd, Dhahran Saudi Arabia",SA,Dhahran,,0x3e49e60cb09349db:0x3daa9e06ee2a7cfc,ChIJ20mTsAzmST4R_Hwq7gaeqj0,26.330622,50.163213,مطعم همبرغر,$$,,1,0,0,19,0,1,0,0,0,2,20,0,0,0,0,20,4.063157894736842,4.045,3.7,1414.7368421052631,1358.7,294.0
Burger King,Burger King - Dareen Mall,122.0,4.7,"Khaleej Rd, Al Aziziyah, Dareen Mall, Dammam 32424, Saudi Arabia",SA,Dammam,,0x3e49ff63a26864b3:0x7829a4b3991130a8,ChIJs2RoomP_ST4RqDARmbOkKXg,26.461794,50.064605,Hamburger restaurant,$$,,1,0,0,14,0,6,0,0,0,8,20,0,0,0,0,20,4.192857142857143,4.245,4.5,1402.7142857142858,1701.75,1687.8333333333333
Pizza Hut,Pizza Hut,486.0,3.8,"5132 حي, Al Hizam Al Thahabi، EKGA7865، 7865 ابن الجوزي, Al Khobar 34421, Saudi Arabia",SA,Al Khobar,,0x3e49e96d54ac4c27:0x390cef996b0ab094,ChIJJ0ysVG3pST4RlLAKa5nvDDk,26.3195223,50.2072325,restaurants,SAR 20–40,,1,0,0,9,0,10,0,0,0,10,19,0,0,0,0,19,4.133333333333334,4.2105263157894735,4.3100000000000005,2068.222222222222,1537.0,1287.3
Burger King,Burger King - Enoc Qateef,279.0,4.0,"Enoc Gas Station, Al Qudes Rd, Qateef, Dammam Saudi Arabia",SA,Dammam,,0x3e4a011712587141:0xa766798b3f1c7548,ChIJQXFYEhcBSj4RSHUcP4t5Zqc,26.5403889,50.0225938,مطعم همبرغر,SAR 20–40,,1,0,0,14,0,4,1,0,0,8,20,0,0,0,0,20,4.078571428571428,4.17,4.5,1000.7857142857143,832.95,730.0
Domino's,Domino's,541.0,3.8,"Custodian of The Two Holy Mosques Rd, Olaya, Al Khobar 34448, Saudi Arabia",SA,Al Khobar,,0x3e49e7cdd341d635:0xbef6d14ab62a0aaf,ChIJNdZB083nST4RrwoqtkrR9r4,26.2943716,50.1706371,restaurants,SAR 20–40,,1,0,0,13,0,5,0,0,0,6,19,0,0,0,0,19,4.384615384615385,4.405263157894737,4.54,2162.3846153846152,2429.8947368421054,898.0
Pizza Hut,Pizza Hut,220.0,4.6,"Al Imam Ali Ibn Abi Talib St, Al Shifa, Dammam 32236, Saudi Arabia",SA,Dammam,,0x3e49fbdbc17d46c7:0xb005f4f33166722a,ChIJx0Z9wdv7ST4RKnJmMfP0BbA,26.4133252,50.1099538,restaurants,$$,,1,0,0,13,0,4,0,0,0,7,20,0,0,0,0,20,4.130769230769231,4.205,4.325,2662.846153846154,2069.2,647.0
Burger King,Burger King - Al Jisr,1962.0,3.8,"Cooperative Council Rd, Al Jisr, Al Khobar 34714, Saudi Arabia",SA,Al Khobar,,0x3e49c316a6f09547:0x9b699fbe2ff30843,ChIJR5XwphbDST4RQwjzL76faZs,26.218267,50.208152,مطعم همبرغر,SAR 20–40,,1,0,0,12,0,5,1,0,0,10,20,0,0,0,0,20,4.166666666666667,4.19,4.34,857.4166666666666,837.4,834.0
Herfy,Herfy,609.0,3.5,"84VQ+FG4, Ibn Batuta Street, Aljamiah District, Dhahran 34257, Saudi Arabia",SA,Dhahran,,0x3e49e4347aad00df:0x1a68215d2436d046,ChIJ3wCtejTkST4RRtA2JF0haBo,26.3436434,50.1388312,restaurants,$$,,1,0,0,13,0,6,0,0,0,8,20,0,0,0,0,20,4.161538461538461,4.145,4.316666666666666,2092.3846153846152,1709.05,907.8333333333334
Herfy,Herfy,636.0,3.4,"C247+MPF, King Fahd Suburb, Dammam 32314, Saudi Arabia",SA,Dammam,,0x3e36027e6fd71c7b:0x34961ffed9e9dffe,ChIJexzXb34CNj4R_t_p2f4fljQ,26.4066757,50.0143063,restaurants,SAR 20–40,,1,0,0,13,0,7,0,1,0,6,20,0,0,0,0,20,4.1,4.11,4.1,536.2307692307693,488.25,383.7142857142857
Domino's,Domino’s Pizza,260.0,3.7,"Al Rashid Mall, Al Shihab Al Taifi St-3590, Al Khobar 34448, Saudi Arabia",SA,Al Khobar,,0x3e49e7d9c9931897:0x1f9f7bb16e62538f,ChIJlxiTydnnST4Rj1NibrF7nx8,26.2908311,50.1805653,restaurants,SAR 40–60,,1,0,0,15,0,6,0,0,0,5,20,0,0,0,0,20,4.3,4.35,4.433333333333333,6698.4,5909.25,10497.333333333334
Pizza Hut,Pizza hut,142.0,4.4,"852G+RWM, Olaya, Al Khobar 34447, Saudi Arabia",SA,Al Khobar,,0x3e49e7003f590079:0x7ac4fd0a46034ae7,ChIJeQBZPwDnST4R50oDRgr9xHo,26.3020578,50.1772227,restaurants,SAR 20–40,,1,0,0,14,0,6,0,0,0,3,20,0,0,0,0,20,4.321428571428571,4.355,4.433333333333334,4732.428571428572,3856.6,1813.0
Herfy,Herfy 82,71.0,3.7,"Badr، EDPC7472، 7472 ابو بكر الصديق، 3829, Dammam 32266, Saudi Arabia",SA,Dammam,,0x3e49fd001511df91:0xa1271128a846d95d,ChIJkd8RFQD9ST4RXdlGqCgRJ6E,26.4143558,50.030555,restaurants,SAR 20–40,,1,0,0,20,0,1,0,0,0,3,20,0,0,0,0,20,4.05,4.05,4.1,1825.25,1825.25,646.0
Domino's,Domino's Pizza,687.0,3.9,"King Fahd Road, Al Faisaliyah, Dammam 32272, Saudi Arabia",SA,Dammam,,0x3e49fd19a3b6be25:0x55d1e64e73df3363,ChIJJb62oxn9ST4RYzPfc07m0VU,26.4035448,50.0572867,restaurants,$$,,1,0,0,17,0,2,0,0,0,3,20,0,0,0,0,20,4.0588235294117645,4.09,4.3,3743.4117647058824,3339.1,669.0
Burger King,Burger King - Othaim Dammam,1215.0,3.8,"Al Nuzha, Prince Mohammed Bin Fahad Rd, Opposite Othaim Mall, Dammam 32252, Saudi Arabia",SA,Dammam,,0x3e49fb4cea301dc1:0xf204558304ea5fdd,ChIJwR0w6kz7ST4R3V_qBINVBPI,26.40053,50.114817,مطعم همبرغر,SAR 20–40,,1,0,0,12,0,6,0,0,0,7,20,0,1,0,0,20,4.025,4.15,4.333333333333333,1043.3333333333333,865.8,386.8333333333333
Burger King,Burger King - Enoc Dareen,1239.0,4.0,"Near Dareen Mall, Khaleej Rd, Al Aziziyah, Enoc Gas Station, Dammam 32424, Saudi Arabia",SA,Dammam,,0x3e49fc26ce915d9d:0xb86102831c50baf3,ChIJnV2Rzib8ST4R87pQHIMCYbg,26.461285,50.074768,مطعم همبرغر,SAR 20–40,,1,0,0,13,0,4,0,0,0,7,20,0,0,0,0,20,4.2615384615384615,4.3,4.325,1340.7692307692307,1199.75,1338.5
Herfy,Herfy 190 Alothim,25.0,3.5,"C429+52J، C428+5XG،, Al Shifa، العثيم مول حي الدمام Saudi Arabia",SA,Dammam,,0x3e49fbeba147f929:0x8fcf8c38f4d2e5a,ChIJKflHoev7ST4RWi5Nj8P4_Ag,26.4004736,50.117511,مطعم همبرغر,SAR 60–80,,1,0,0,14,0,7,0,0,0,5,20,0,1,0,0,20,3.878571428571429,3.985,4.214285714285714,691.7142857142857,719.05,740.0
Domino's,Domino's Pizza,133.0,3.7,"6541 King Abdulaziz Rd, Industrial Area No 1, Dammam 32234, Saudi Arabia",SA,Dammam,,0x3e49e51903ba8315:0x6bb66acc7c1f672a,ChIJFYO6AxnlST4RKmcffMxqtms,26.3882137,50.14939,restaurants,SAR 40–60,,1,0,0,11,0,6,0,0,0,8,18,0,0,0,0,18,3.87,3.6133333333333337,3.44,258.3,211.93333333333334,122.0
